index,task_id,difficulty,generation_status,generation_event_count,provider_attempt_count_total,execution_status,failure_kind,execution_duration_seconds
1,abc357_b,easy,success,1,1,passed,,0.01228642463684082
2,abc397_a,easy,success,1,1,passed,,0.03710222244262695
3,abc361_a,easy,success,1,1,passed,,0.016810894012451172
4,abc395_a,easy,success,1,1,passed,,0.03769993782043457
5,abc373_a,easy,success,1,1,passed,,0.0678102970123291
6,abc388_b,easy,success,1,1,passed,,0.05324840545654297
7,abc381_b,easy,success,1,1,passed,,0.05580544471740723
8,abc392_b,easy,success,1,1,passed,,0.054052114486694336
9,abc382_b,easy,success,1,1,passed,,0.0695335865020752
10,abc386_b,easy,success,1,1,passed,,0.07727670669555664
11,abc380_a,easy,success,1,1,passed,,0.035845041275024414
12,abc388_a,easy,success,1,1,passed,,0.03677201271057129
13,abc360_b,easy,success,1,1,passed,,0.04481673240661621
14,abc392_a,easy,success,1,1,passed,,0.03603506088256836
15,abc387_b,easy,success,1,1,passed,,0.03602409362792969
16,abc391_a,easy,success,1,1,passed,,0.04945659637451172
17,abc390_a,easy,success,1,1,passed,,0.08213376998901367
18,abc383_a,easy,success,1,1,passed,,0.0802009105682373
19,abc370_a,easy,success,1,1,passed,,0.004372596740722656
20,abc396_b,easy,success,1,1,passed,,0.03648567199707031
21,abc374_c,medium,success,1,1,passed,,13.206316947937012
22,abc372_c,medium,success,1,1,passed,,1.7675955295562744
23,abc356_d,medium,success,1,1,passed,,0.05147576332092285
24,arc195_a,medium,success,1,1,passed,,0.0646812915802002
25,abc388_c,medium,success,1,1,passed,,0.09209775924682617
26,abc382_c,medium,success,1,1,passed,,0.48243117332458496
27,abc374_d,medium,success,1,1,failed,wrong_answer,0.5343785660006688
28,abc397_c,medium,success,1,1,passed,,0.03961801528930664
29,abc392_c,medium,success,1,1,passed,,0.10848450660705566
30,arc183_a,medium,success,1,1,passed,,0.17847490310668945
31,abc399_c,medium,success,1,1,passed,,0.5879850387573242
32,abc373_c,medium,success,1,1,passed,,2.993645191192627
33,abc369_c,medium,success,1,1,passed,,0.5452606678009033
34,abc398_c,medium,success,1,1,passed,,0.035604238510131836
35,abc361_b,medium,success,1,1,passed,,0.049967050552368164
36,abc357_d,medium,success,1,1,passed,,0.0602264404296875
37,abc400_d,medium,success,1,2,passed,,0.11035370826721191
38,abc383_b,medium,success,1,1,passed,,0.044255971908569336
39,abc360_c,medium,success,1,1,passed,,0.6433336734771729
40,abc367_c,medium,success,1,1,passed,,0.7920670509338379
41,arc189_d,hard,provider_error,2,6,not_run,,
42,abc394_e,hard,success,1,1,passed,,0.12613677978515625
43,arc185_d,hard,success,1,1,passed,,1.8288257122039795
44,arc186_e,hard,provider_error,2,6,not_run,,
45,abc385_e,hard,success,1,1,passed,,0.03822684288024902
46,abc390_f,hard,success,1,1,passed,,0.10606241226196289
47,arc183_c,hard,success,1,1,passed,,21.166212797164917
48,arc187_b,hard,success,1,1,passed,,2.009706735610962
49,arc183_b,hard,success,1,3,failed,wrong_answer,0.6353520579978067
50,abc368_e,hard,success,1,1,passed,,12.558440923690796
51,abc390_e,hard,success,1,1,passed,,4.088325500488281
52,arc195_e,hard,success,1,1,passed,,0.04520273208618164
53,abc386_e,hard,success,1,1,passed,,0.41243743896484375
54,abc363_f,hard,success,1,1,failed,wrong_answer,0.6597966160006763
55,arc182_c,hard,success,1,1,compile_error,compile_error,
56,abc374_e,hard,success,1,1,passed,,0.20450377464294434
57,abc371_g,hard,success,1,1,passed,,4.274150848388672
58,abc389_g,hard,success,1,2,timeout,time_limit_exceeded,6.719764834000671
59,abc357_e,hard,success,1,1,passed,,3.189728260040283
60,abc361_e,hard,success,1,1,passed,,10.645969867706299
